Company,Position
QualityMax,Founder and CEO
Experian,QA Automation Engineer
JPMORGAN CHASE & Co.,Application Support Analyst
Sphere Software,Project Manager Scrum Master
Boombah,Frontend Developer
Bank of America,Technical Lead
Kintsugi,Senior Machine Learning Engineer
BCD Meetings & Events,Software Test Engineer
Good Code,Project Manager
Trissential,QA Architect (on assignment at Solventum)
gospl.chat - most secure p2p messaging app,QA Analyst
Route One Group,Recruiter/ Human Resources Specialist
Tufts Medicine,Epic Cogito / BI Analyst Intern
Tekmetric,Sr. QA Analyst
TenantCloud,QA Automation Engineer
EchoGlobal,Co-founder and CEO
Medix™,Information Technology Recruitment Advisor V
Medix Technology,Senior Business Development Manager | Culture Champion
UCCA — Ukrainian Congress Committee of America ,Executive Board Member
Horace Mann,Senior Lead Software Engineer
Napleton's Palatine Mazda,Sales Consultant
United Airlines,Human Resources Specialist
Goldenpick Technologies LLC,Senior Talent Acquisition Specialist
UA-USA MEDIA GROUP,Head of Strategic Marketing
NVIDIA,Senior Math Libraries Engineer - Quantum Computing 
MoLoKo Inc,Founder
The Designory,Associate Creative Director
Janek Performance Group,Learning and Development Content Editor
Fortitude Systems,Account Executive
The Toubes Agency,Sr. Art Director
Regain Functional Medicine and Aesthetics,Director of Business Operations
Omnicom Production,Interaction Designer
Nova Ukraine,Website Project Manager
designory,Proofreader
Texas Attorney General,Criminal Appeals
"ADEPTCORE, INC.",Software Engineer
Peterson Technology Partners,Lead Human Resources Specialist
Help at Home,Data Analyst
IKEA,Software Engineer
Fleet Profit Center Inc.,Development Team Lead
Wildtype Health,Group Account Supervisor
The Ukrainian Institute of Modern Art (UIMA),President
VML HEALTH,Senior Project Manager
,
Selfreliance Federal Credit Union,Software Engineer in Test
neartekpod,Managing Partner
Fingerpaint Marketing,Director of Submissions
Scopic,Solutions Architect
Prometheum,Full Stack Engineer
Mission,Head of Client Success
VelocityEHS,Sr. Test Automation Engineer
hubmee,Social Media Marketing Manager
"ABC Plumbing, Sewer, Heating, Cooling & Electric",Service Dispatcher
LogicMonitor,Talent Acquisition Associate
,
Maveris,Application Tester
Floor & Decor,Senior Software Quality Assurance Engineer
Floor & Decor,Software Development Engineer in Test
Health Care Service Corporation,Sr User Acceptance Tester
Headlands Technologies LLC,Software Developer
Nextech Systems,Software Engineer in Test III
Publicis Health,Senior Editor
Hagerty,Sr Data Architect
Cintas,New Account Coordinator
National Superior Express,Operations Manager
Yochana IT Solutions INC,Team Lead
Tamnoon,Head of Staff
Center for Research in Security Prices (CRSP),QA Analyst
Omnicom Production,Senior Copywriter
Warner Bros. Discovery,"Manager, Design Management"
eg+ worldwide,Frontend Developer
MERGE,Senior Technical Project Manager
Anthony The Developer,Web Developer & Owner
Warner Bros. Discovery,"Manager, Design Management"
Lender,UX Designer
IMPACT WAY,Transformational solutions coach
Vanguard X,Chief Operation Officer
Harvey Nash,Senior Technical Recruiter
Preferred Travel Group,Technical Project Manager
Codal,Senior Automation/Manual Software QA Engineer
SKILLUP (Ukraine),Talent Acquisition Specialist
Valorem Reply,Lead Software Engineer
ForYourParty.com,Senior Project Manager
Portfolia,Portfolia Funds Investing Member
Self Employed,Independent Mapmaker
Kuka Sushi & Izakaya,Hostess
MERGE,Senior Project Manager
Omnicom Production,ACD Copy
designory,Director of Strategy
Diagonal School Online,Data Analyst
Omnicom Production,"Manager, SEO & Analytics"
Yeeld,Implementation Consultant
designory,"Director, Analytics & Optimization"
Havas Chicago,Associate Creative Director
Imprivata,Scrum Master
"Coordinated Benefits Company, LLC",Employee Benefits Specialist
Great Lakes Adjusters,Insurance Claims Specialist
Amazon,Software Engineer
Omnicom Production,Program Manager
eg+ worldwide,Account Director
eg+ worldwide,Senior Project Manager
Sidley Austin LLP,Quality Assurance Lead
,
BFG iTech,CEO & Founder
Omnicom Production,IT Analyst at Omnicom Production
SANDSIV,Golang Developer
"Ameriprise Financial Services, LLC",Financial Advisor
"Help Heroes Of Ukraine INC, NFP",Media Marketing Manager
Veterans Services Technology Company,Director of Software Engineering
PwC,Manager. Transfer pricing
Triangu,CEO
Vitality Group Inc.,"Architect, QA Automation (USA)"
BigMarker,Product Manager
eg+ worldwide,Senior Project Manager
Indegene / AstraZeneca,MLR Senior Planner
designory,Software Engineer
TDK Corporation of America,Systems Analyst
Abbott,Senior Specialist Medical Affairs
UST HealthProof,Lead II - Software Testing
Selfreliance Federal Credit Union,IT Specialist
AgentSync,Senior Software Engineer
DataArt,Senior Software QA Engineer
ProtectUkraineNow,Software Engineer
Honeycomb Software,Head Of Business Development
INDIGO Tech Recruiters,Advisory Board Member
The Ray of Justice,Business Operations Specialist
Smart Rate Lending,Mortgage Loan Originator
Freelance,Information Technology Engineer
Home Chef,Marketing Analyst
BMO,Design Lead: Sr Design Manager - U.S. Digital Sales: personal banking
Yur Web,UX Designer / Web Developer 
AddTech,Technical Support Agent
A-Players,Founder
The Bradford Group,Software QA Analyst
OXYGEN DESIGN,Creative Director & CEO
KOMAR Real Estate,Managing Broker
designory,Quality Assurance Specialist
Mission Essential,CAT II Ukrainian/Russian Linguist/Analyst
Omnicom Production,Automation Manager
DePaul University,Transfer Admissions Intern
Blue Yellow for Ukraine USA,Board President
Robert J Kelly Dds,Patient Services Administrative Coordinator  
Design Devotion ,UI/UX Designer
Consulate General of Ukraine in San Francisco,Consul 🇺🇦🇺🇸 Public Diplomacy: Promote | Unite | Invest |
Omnicom Production,Senior QA Automation Engineer
Omnicom Production,Project Manager
TogetheRising,Founder
Ukrainian IT Cluster,President & Founder
Omnicom Production,QA Analyst
 ,Freelance Web Developer
Liveuamap.com,CEO & Editor-in-chief
ProNgroup,Technical Director
Omnicom Production,Proofreader
Omnicom Production,Global Senior Account Director
MERGE,Senior Digital Project Manager
MoonWriting,Owner
Quantum World Technologies Inc.,Talent Acquisition Specialist
CRIF,Senior Manager - Account Aggregator & Open Banking
designory,"Director, People Operations"
Omnicom Production,Senior QA Visual Tester
Omnicom Production,Administrative Assistant
Omnicom Production,Jr Art Director | Interaction Design
GTI Energy,Systems Administrator I
Aquent,Agile Digital Team Content Steward - Project Manager (Pharma - Merck Oncology)
Starcom,HR Manager
Christy Media Solutions,"VP Business Development, Americas"
FixedOPS Marketing + What the Fixed Ops?! Podcast,Full Stack Developer
Education nationale,English Teacher
Smyth Companies,Prepress Technician
Omnicom Production,Senior Project Manager
Planning Center,Full Stack Developer
The Contented Agency,Project Manager
Quality Assurance Group,Event Manager
SCIGON ,"Director, Strategic Alliances"
University of Illinois Urbana-Champaign,"Graduate Assistant: Teaching, Learning and Academic Support"
designory,QA and Visual Specialist
EVERSANA INTOUCH,Medical Editor
Credera,Senior UX Designer
Credera,Senior Frontend Engineer
Self-Employed,Strategic Advisor and Consultant
AmeriCorps,Promise Fellow
Caylent,Senior Frontend Developer
Omnicom Production,"Group Director, Technology"
Tremendous,Senior Product Marketing Manager
Bell Flavors & Fragrances,"Director of Regulatory Affairs, Fragrances"
Omnicom Production,Senior Engineer
Envisionit,Senior Digital Project Manager
Omnicom Production,"Associate Director, Technology"
Dieste Inc.,Director of Agency Operations
Vantive,Senior Talent Acquisition Partner 
GuideStone Financial Resources,Project Manager
Credera,Senior Frontend Architect
Credera,Senior Frontend Engineer
Credera,Management Consultant
Eight Acorns,designer/artist
Lapointe Rosenstein Marchand Melançon,"Partner, Lawyer"
Self Employed,Freelance Designer
Hemma Homewares,Small Business Owner
Omnicom Production,"Executive Director, Strategy"
Advantage Marketing Partners (AMP),Sr. Project Manager
Boys & Girls Aid,Foster Care Adoption Clinician 
Credera,XD Architect
Credera,Senior Consultant
Designory,QA Engineer
Designory,Visual/Functional QA Tester
Clarity Media Partners,"Senior Manager, Product"
Credera,Partner
Accenture Strategy & Consulting,"Manager, Insurance & Retirement"
Credera,Manager
Santa Monica Studio,Associate Producer
IQVIA,"Sr. Director, Strategic Solutions"
Slalom,Senior Consultant | Experience Design
Cook County Government,Talent Acquisition-Bureau of Human Resources (Offices Under The President)
Copilot CRM,Head of Design
None,Retired
Forte Group,IT Recruiter
Lenovo,Talent Acquisition Partner
Instrument,Senior Creative Technologist Lead
Bedrock Information Systems,"Director of Sales, Alliances"
Robert Half,AVP & Director of Permanent Placement Services
Legacy Marketing,Senior Designer
Ascendo Resources,Director of Recruiting
Self Employed (Investor),Project Manager
,
Unite Us,Quality Assurance Team Lead
DocuSign,"Software Engineer, Test Automation Framework and Infrastructure"
Award Solutions Inc,President
PMC Works,Senior Account Director
Health Haven Connect and Kickstart Staffing,Co-Founder
The Habitat Company LLC,Senior Compliance Monitor
Xpress Tailoring,Tailor intern
Omnicom Production,Senior QA Automation Engineer
"Connect Search, LLC",Assistant Vice President of Technical Recruitment
Inizio Evoke,"Director, Digital Program Management"
1Password,Talent Acquisition Specialist
ZvUk,Owner
The MYND Group,Project Manager
Morningstar,Senior QA Automation Engineer
Ipsos US,Communications Manager
Vend,Senior Product Manager
NERDZ LAB,Manual Quality Assurance Engineer
Addison Group,"Principal Recruiter, Information Technology and Digital Marketing"
Addison Group,"Recruiting Manager , IT Chicago "
Loadmill,Co-Founder & Chief Scientist
Omnicom Production,"Executive Director, Talent"
Kohler Co.,"Communications Director, Project Management"
Akkodis,Sr Resource Development Manager
Thunderlab Production,Executive Creative Director
designory,Product Designer
"Town of Michiana Shores, Indiana","Vice President, Town Council"
Randstad Digital,Technical Recruitment Director/Sr. Healthcare IT Recruiter
"One North, a TEKsystems company",Front-end developer
Manifest,Creative Director
Omnicom Production,"Manager, Impact + Inclusion"
Omnicom Production,Program Manager
Precision AQ,Senior Project Manager
Enterprise Mobility,Senior Marketing Operations & Campaign Automation Specialist
FINN Partners,Project Director
,
Okta,Sr. Project Manager - Digital Marketing
Omnicom Production,Senior Art Director
MERGE,Lead Developer
Omnicom Production,Senior Strategist
Argo Group,HR Business Partner
Robert Walters,Manager - Kansai & West Japan Technology Staffing
Ottera,Chief Executive Officer
nlsql.com,Co-Founder | Global Head of Business Development
Scalable software hub,Software QA Engineer
Digitas North America,"Vice President Director, Project Management"
Forte Group,Sr. Tech Recruiter
Sweetwater,Managing Editor
Tree Top Staffing LLC,Chief Talent Officer
Beacon Hill,Senior IT Staffing Consultant
AbbVie,Enterprise Assets Specialist Lead
AmeriCash Loans LLC,Customer Service Representative
JTEKT Toyoda Americas Corporation,Senior Quality Engineer
State Representative Will Guzzardi 39th District,Chief of Staff
Envisionit,Director of Operations/Project Management
Omnicom Production,Editorial Manager
Avalere Health,Digital Producer
Saatchi & Saatchi Wellness,"Creative Lead, Product Design"
The Inflection Point,Senior Recruiter / Talent Acquisition Partner
Pivot Design,Senior Project Manager
Raised AI,Independent Consultant (TA)
Apex Systems,"Capability Sales & Talent Leader - Application Engineering & Services (AES), Principal"
Lumicity,Senior Manager
Vivid Seats LLC,People Experience Coordinator
Group of companies VITAGRO,Chief Investment and Business Development Officer
Dhalite,Technical Recruiter
HYS Enterprise,AI Engineer
Recruitment Consultant,Senior Recruiter
MongoDB,"Recruiter, Sales Development & Inside Sales "
ChaChing,Senior Frontend Software Engineer
Cyngn,Head of Talent Acquisition 
Guaranteed Rate,Talent Acquisition - Information Technology
Beacon Hill,Senior Managing Consultant
Inovalon,Senior Talent Acquisition Partner
Hireology,Talent Acquisition Partner 
Hirewell,Lead Technical Recruiter
Freelance,Figuring It Out
Self-employed,Independent AI Consultant - Banking
Custom Filter LLC,Electro Mechanical Technician
Dandy,Principal Recruiter
Maimonides Medical Center,Talent Acquisition Recruiter
Ula Corp,Self Employed
Korn Ferry,"Principal, Executive Search"
Ad Hoc LLC,Staff Software Engineer
Avant,"Associate, People"
Talent Getters Pro,Recruiter
Citations Pros LLC,Quality Assurance Specialist
Caterpillar Inc.,Design System Architect
EPAM Systems,Lead Systems Engineer
,
Melamed Institute,Virtual Assistant
Forte Group,Lead Technical Recruiter
Razom,Associate Director of Public Engagement
GlobalLogic,Senior Quality Assurance Test Engineer
Motion Recruitment,"Executive Director, Staffing Solutions"
B the Designer,Product Design Lead
Violet Ink Group,Senior Technical Recruiter
Ukrainian World Congress,Chair of UN Affairs
,
Forte Group Inc.,QA Engineer
UTECH,UI UX Designer
EPAM Systems,Senior Staffing Specialist
Digitas North America,Associate Director Project Management
United Airlines,Art Director
Ugryn Law,Attorney at Ugryn Law LLC
Initio Capital,Operating Partner
Indivi,Head of Mobile Development
Forte Group,QA Automation Engineer
Valtech,Senior Project Manager
EPAM Systems,Senior Staffing Coordinator
ELEKS,Head of Branch Office
SoftServe,Test Automation Engineer
DevOps - freelance,DevOps
Beacon Hill,Account Executive
Marsh ClearSight,Senior  Solution Architect
Coinstar,Sr. Customer Experience (CX) Manager
Morgan Stanley,Director - QA Engineering | Lead SDET
Knock,Software Engineer
The Mx Group,Senior Copywriter
Banner Health,IT Solution Owner
RAPP,Managing Director /SVP Client Partner
Salesforce,"Sr. Program Manager, UX"
Handshake,Sr. Staff Data Architect
RPM,Talent Acquisition Manager
Momentum Worldwide,Associate Director of Project Management
Stripe,Go To Market Recruiter
UA melody,Business Owner
Starburst,Senior Engineering Manager
Self-employed,Singer/artist
CityWood, CEO / Founder
"Torchsec Technologies, LLC",Sales Director
Dummy Audiobooks,Founder
DoStuff,Senior Account Manager (Brand and Agency)
"Fluent Language Solutions, Inc ",Freelance Interpreter/translator
Performio,Talent Partner
Omnicom Production,"Associate Director, Technology"
Youwe,Delivery Manager
"SRAM, LLC",Mobile Software Engineer
South Kent School,School Counselor & Head Golf Coach
JSC KREDOBANK,Менеджер з іпотечного кредитування
Longist,Founder
"TalentDash, LLC","Manager, Talent and Recruitment "
INTRUST Bank,Sr Automation Tester
Sphere Labs,Head of Talent
SoftServe,Project Manager
The Planet Group,Senior IT Recruitment Consultant
AVIAREPS Group,Administrative Temp
Forte Group,Senior Quality Assurance Engineer
Worldline,Senior Java Developer
Hiring Nice,Talent Acquiring Officer
Omnicom Production,Program Manager
KAMCOM,Founder | Fractional Marketing Executive + Executive Creative Director
WadiTek,Lead – Talent Acquisition | Deloitte & U.S. Government Clients
TeleProstir Studio Company,Director
Kubeshark,Site Reliability Engineer
,
Digitas Health,Senior Project Manager
Area 23,Account Supervisor
Sky Arts Production,CEO
UCG Staffing,Vice President of Recruiting & Client Services
Meta,Front End Engineer
Omnicom Production,"Group Director, Program Management"
Omnicom Production,Group Account Director
"Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas",Senior Analytics & Reporting Analyst
Against Type,Founder
Digital Lofts,Founder
Billtrust,Strategic Sales Director
Influur,US Influencer Director
Omnicom Production,Associate Creative Director
Omnicom Production,"Global Director, 3D & Interactive"
Omnicom Production,"Group Director, Quality"
OneDigital Advanced Health ,Human Resources Director
Home Chef,"Manager, Creative Operations"
Omnicom Production,"Director, MarTech"
Fueled By This LLC,Founder and CEO
"Hutson, Inc.",Data Scientist
RSM,Senior Software Engineer
Out & About Communications,Senior Technical Lead
"Sprout Social, Inc.","Senior Software Engineer, Web"
Envision Health,VP of Digital Marketing
,
SpawGlass,Superintendent
AbbVie,"Associate Director, Omnichannel Experience Lead, Gastroenterology"
Coca-Cola HBC,Sales Manager
Self-employed,Strategist
Enfusion (Now CWAN),Senior Software Engineer
Omnicom Production,Associate Compliance Director
Omnicom Production,MarTech Lead
"Purchasing Platform, Inc.",SDET II / Quality Assurance Engineer II
Експерт сервіс,Сервісна компанія західної України
TAG - The Aspen Group,Principal Software Engineer
RevenueWell,Sr Product Manager
Freelance (Self employed),Producer
Remote,Senior Customer Success Manager
Rocket Money (formerly Truebill),Senior Product Designer
Google,Partner Architect
"Technical Options, Inc",IT Technical Recruiter / Account Manager
Mercado Libre,Software Project Leader
Lionwood.software,Scrum Master
Self-Employed,ESL & Italian Language Instructor
VillageMD,Director of Product Design and User Research
Rise Interactive,"Manager, Web Development"
Robert Half,Director of Permanent Services - Technology
Digitas Health,"VP, Creative Director"
SoftServe,Associate Brand Director
Patrianna,SDET
Studio P | Mindfulness • Resilience • Connection,Founder & Visionary Creator at Studio P | Mindfulness • Resilience • Connection
WAVSYS,Senior HR Generalist
VML Enterprise Solutions,Associate Director of Quality Assurance
Aurico,Software Engineer II
American Bar Association,Application Systems Engineer
"Jarkley, LLC",Co-Founder
Huge,Senior Project Manager
Cramer-Krasselt,"SVP, Director of Engineering"
Bishop Fox,Senior Product Designer
Yum! Brands,"Global Director - SmartOps Product Design, Byte"
Front,Head of Talent
Riot Games,Senior Software Engineer
ЮТА,Администратор систем
BroadAxis,"Director, IT Recruiting, Delivery Services"
,
Marknadsdatagruppen,Chief Technology Officer
WellRight,Senior QA Analyst
Soft Surroundings,Key Holder
forténext,CEO
Thoughtworks,Senior DevOps Engineer
forténext,"VP, Global Talent Acquisition"
Startups,Sr Account Executive
VIEWS,Founder - Hiring Success Manager
SEBN-UA,Старший інженер-технолог центрального планування
Barclays Investment Bank,AVP / Senior business analyst
Comtek,Account Executive
Preston Ventures,VP of Data Architecture
,
Clear Marketing Partners,Product Owner and Developer (Consultant)
,
Dovbenko Insurance Agency,Insurance Broker
Photon,Senior Executive Human Resources - US IT 
Maidan Monitoring Information Center,Project manager
Better Homes and Gardens Real Estate,Real Estate Agent
Customertimes,VP of Sales
Mastery Logistics Systems,Talent Director
Salesforce,Sales Development Representative
Allstate,Fractional Product Leadership (consultant)
GlobalLogic,QA Automation Engineer
TalentFish,Senior Recruiter
Relativity,Senior Premier Customer Success Manager 
,
MAX CNC,Owner
Strata Decision Technology,People Business Partner
"GridX, Inc.",Sr. DevOps Engineer
Tricascade Tech,Business Development Manager
Merchants Fleet,Quality Assurance Test Lead
Amoeboids ,Customer Success and Support Manager
,
Future Processing Ukraine,Head of HR 
Systegration,Lead Recruiter
Paro,Senior Customer Success Manager - Key Accounts
Kirkland & Ellis,Security GRC Specialist II 
Anxiety Treatment Center of Greater Chicago,Counseling Associate
Vibes,Senior DevOps Engineer
Infosys,Process Lead-Talent Acquisition
ELEKS,"Vice President, North America Commercial Business"
Attrock - Digital Marketing Company,Founder
Follett School Solutions,Developer
Princess Cruises,Sr Scrum Master/Agile Delivery Lead
Yug-Contract,Country Manager (Home Appliances and Consumer Electronics 
Hirewell,"Partner, Recruiting & Talent RPO / Advisory"
BenchPrep,Chief Technology Officer
FGS Inc,Sr Software QA Engineer/ QA Lead
AECOM,"Rocky Mountain Marketing Lead, Buildings + Places, U.S. West"
Driscoll's,Lead QA Analyst
SQA Solution,Head of Operations & People Strategy
Rozdoum,Marketing manager
Evolved Ideas,Senior PHP Developer
BCG X,Senior Recruiter
Yello.co,Staff Test Engineer
SPECTRAFORCE,Sr. Manager - Recruitments
Netflix,"Product Manager, Developer Platform"
Datadog,Strategic Account Executive
Coder,Chief of Staff
Hirewell,Partner
"Connect Search, LLC",Senior Technical Recruiter
Colonial Staffing Group Inc.,Permanent Placement Division
Follett Software,Senior Software test engineer
Assemble,Head of Product and Operations
Self-employed,Chief Metaverse Officer
TUI,Quality Practice Lead
Envoy Global,Associate QA Manager
Stealth Startup,Director of Talent Acquisition and Principal Technical Recruiter
BOLD PENGUIN,Senior QA Engineer
MagMutual,Copywriter
McCann Partners,CEO & Founder
Amitech Group,Founder and CEO @ Amitech Group
Influur,Head of Sales
Figment,Tech Recruiter
Fetch,Sr. QA/SDET
Mezmo,Principal Software Engineer
"Infinity Board. An innovative, infinitely expandable kitchen cutting board.",Founder and CEO
Mem,Staff Software Engineer
Tock,Senior Implementation Manager
Fivetran,Senior Account Manager
Clockwork,Founder and CEO
tastytrade,UI/UX Designer
Zip Co,Group Product Manager
Salesforce,"Director, Global Strategic Accounts"
c.technology,Head of Global Partnerships
McKinsey & Company,"Expert Engagement Manager, Product Management"
Grafana Labs,Staff Software Engineer
Something new,Co-Founder
Uber,"Delivery Commercial Operations, Global Direct Sales Operations Lead"
,
UL,Web Developer
Slalom,Architect - Quality Engineering
EMKAY,Senior Application Developer
CDK Global,SaaS | Automotive | Prog Mgt | Procurement | Mkt Intel | Pricing | Forecasting
Raise The Bar,Head of Partner Experience
The Best Used Vehicles,President
Salesforce,Account Executive - Growth Business
Clemson University,Assistant Professor
Izzi's Gym,Co-Founder
SoftServe,Senior DevOps Engineer
Arrow Payments,Chief Revenue Officer (CRO)
ENDGAME,Principal Software Engineer
Bazaarvoice,Senior Software Engineer | Technical Lead
Etsy,Senior Technical Recruiting for Engineering Talent
emagine,Senior Recruitment Professional
Shopify,Senior Staff Developer
Shared Apartment Services,Principal Database Administrator
WorkTango Inc.,Staff Software Engineer I
Indeed,Senior UX Researcher
CJ,Software Engineer 3
Scaia Technologies,Magician
The Childress Fabrics and Furniture,VP of Sales and Marketing
Forte Group,Senior QA Engineer
Ahold Delhaize USA,Senior Technical Recruiter
Innovecs,Head of Talent Acquisition
Wirex,Chief Product Delivery & Customer Service officer
GlobalLogic,Senior Test Automation Engineer
ITVDN - IT Video Developers Network,Author of Manual QA course / Mentor
Qualcomm,Senior Staff Engineer
Illinois Department of Transportation,Civil Engineer
Procentia,Business Analyst
Hunter Hamilton,Sr Recruiter at Hunter Hamilton 
LaSalle Network,"Sr. Unit Manager, Technology Services"
SoftServe,Project Manager
Follett School Solutions,Principal Developer
Cision,Software Engineer II
Scompler,QA Engineer
Expert Service IT,www.es-te.com.ua
,
,Dentist
Maple,Head of Design
Astound Digital,QA Lead
GHGSAT,Senior Software Quality Architect
SUN PHARMA,Information Technology Manager
SOVRA,QA Automation Developer
Forte Group,Senior Quality Assurance Engineer
 -,Head of Technical Department
Холодне Сонце | SOLARICE,"Singer, Musician, Media Creator, Composer"
Instant Alliance,Director Of Recruiting - Executive Search
Solution Partners Inc.,Resource Development Manager
Charles Schwab,Quality Assurance Manager
"SVIP, Inc",Climber
Journey Talent Group,"Co-Founder, Head of Recruitment "
TXI,"Director, Organizational Growth"
Interplay Ukraine,Chief Executive Officer 
Apple,Software Engineer
,
Relokia,Full Stack Engineer
NMI,"Senior Manager, People & Culture "
Little Caesars Pizza,Corporate Recruiter
"Boyce Technologies, Inc.",Quality Specialist
Wells Fargo,Test Automation Engineer
Infigo,Web-to-print Consultant
Rio Tinto,Sr. Technical Product Owner
Forte Group Inc.,Quality Assurance Manager
ReTech - IT Recruitment Technical Agency,CTO
SoftServe,Senior Software Engineer
Provident Polska,Car Fleet and Internal Organization Manager
Apiumhub,QA Automation Engineer
,
Software Product Development Group (SPD-Group),Sr HR Business Partner
Apple,Site Reliability Engineer
American Academy of Pediatrics,"Program Manager, BDID Initiatives "
Redfin,Tour Coordinator
NDA,Chief Operating Officer
SES Satellites,Data Center Engineer
Follett School Solutions,Principal Software Engineer
Boutique Heritage Business,Business Operations Lead
Dreamspots Leasing and Sales,Licensed Realtor
McDonald's,Senior Director SMO & Enterprise Observability
,
Forte Group Inc.,"Sr. Technical Recruiter, Java Instructor"
Rachio,QA Lead
Elogic Commerce,Magento2 full-stack developer
Salesforce,Product Architect (Cloudcraze) / Software Engineering SMTS
DataArt,Vice President of Strategic Marketing
LaunchDarkly,Marketing Designer
4teGroup,QA Lead / Lead QA Automation Engineer
Equitable Bank,Senior Quality Engineer / Test Infrastructure
Crane Aerospace & Electronics,Senior Manager of Environmental Health and Safety
OpenBet,Java Software Engineer
Auditdata,Manual Testing Engineer
Lithuanian Research and Studies Center,Board of Directors-Director of Media
,"Director, Recruiting & Sales at MQ Financial"
Forte Group Inc.,QA Engineer
VCA Animal Hospitals,Veterinary Assistant
Stratfield Consulting,Senior Software Development Engineer in Test
Ascension,Senior Product Manager (Ai & Digital Solutions)
Saxon Global,Delivery Manager
Adaptiq,Head of Sales Operations and Lead Generation
Forte Group,"Partner, Managing Director, Sales "
PSM Partners,Manager of Recruitment Operations
US Army,Cyber Intelligence Manager
Trend Micro,"VP, Business Strategy and Customer Success"
SoftServe,Web UI Developer
IBM,Cyber Security Blue Squad Leader
ZS,Senior Risk Governance/Third Party Lead
42magnets,Founder
HIMERA,Global Expansion Manager
,
,предприниматель
Ivan Franko National University of Lviv,"Learning Program Manager for ""Translation (English and Second Foreign Language)"" at Master's level "
3 TECHNIQUE Consulting L.L.C.,President
Zoolatech,HR Generalist
EPAM Systems,Associate Manager
Direct Supply,Staff Software Engineer
RevenueWell,SDET
Oracle,Senior SDET Engineer
Shpytal Records,"Studio Engineer, Owner, Producer"
Bloomerang,Senior Software Engineer
ZS,Talent Acquisition
SoftServe,QA Lead
